high,mid,low,eval,batch_idx,new_instruction,original_instruction,structural_similarity,keyword_similarity
act,lexical,addition_deletion,8,9,deliberately put the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.9473684210526316,1.0000001192092896
act,lexical,addition_deletion,9,0,carefully turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,1,slowly turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,2,safely turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,3,gently turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,4,quickly turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,5,promptly turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,6,now turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,7,properly turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,8,first turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,addition_deletion,9,9,correctly turn on the stove,turn on the stove,0.8888888888888888,1.0
act,lexical,same_polarity_contextual,0,0,pull out the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,0.8564467430114746
act,lexical,same_polarity_contextual,0,1,slide out the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,0.830460786819458
act,lexical,same_polarity_contextual,0,2,draw out the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,0.830460786819458
act,lexical,same_polarity_contextual,0,3,access the middle drawer of the cabinet,open the middle drawer of the cabinet,1.0,0.8636915683746338
act,lexical,same_polarity_contextual,0,4,pull open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,same_polarity_contextual,0,5,slide open the middle drawer of the cabinet,open the middle drawer of the cabinet,0.9333333333333333,1.0
act,lexical,same_polarity_contextual,0,6,extend the middle drawer of the cabinet,open the middle drawer of the cabinet,1.0,0.830460786819458
act,lexical,same_polarity_contextual,0,7,withdraw the middle drawer of the cabinet,open the middle drawer of the cabinet,1.0,0.8375201225280762
act,lexical,same_polarity_contextual,1,1,access the top drawer and put the bowl inside,open the top drawer and put the bowl inside,1.0,0.9091278910636902
act,lexical,same_polarity_contextual,1,2,open the top drawer and place the bowl inside,open the top drawer and put the bowl inside,1.0,0.9059467911720276
act,lexical,same_polarity_contextual,1,3,slide out the top drawer and put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,0.9072480797767639
act,lexical,same_polarity_contextual,1,4,open the top drawer and set the bowl inside,open the top drawer and put the bowl inside,1.0,0.9062296748161316
act,lexical,same_polarity_contextual,1,5,access the top drawer and place the bowl inside,open the top drawer and put the bowl inside,1.0,0.8122413754463196
act,lexical,same_polarity_contextual,1,6,pull out the top drawer and put the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,0.9072480797767639
act,lexical,same_polarity_contextual,1,7,open the top drawer and insert the bowl inside,open the top drawer and put the bowl inside,1.0,0.9059467911720276
act,lexical,same_polarity_contextual,1,8,access the top drawer and set the bowl inside,open the top drawer and put the bowl inside,1.0,0.815357506275177
act,lexical,same_polarity_contextual,1,9,open the top drawer and deposit the bowl inside,open the top drawer and put the bowl inside,1.0,0.9059467911720276
act,lexical,same_polarity_contextual,1,10,pull out the top drawer and place the bowl inside,open the top drawer and put the bowl inside,0.9473684210526316,0.8103616833686829
act,lexical,same_polarity_contextual,2,0,slide the plate to the front of the stove,push the plate to the front of the stove,1.0,0.826383113861084
act,lexical,same_polarity_contextual,2,1,move the plate to the front of the stove,push the plate to the front of the stove,1.0,0.8793067932128906
act,lexical,same_polarity_contextual,2,2,shove the plate to the front of the stove,push the plate to the front of the stove,1.0,0.9185405969619751
act,lexical,same_polarity_contextual,2,3,nudge the plate to the front of the stove,push the plate to the front of the stove,1.0,0.8283183574676514
act,lexical,same_polarity_contextual,2,6,shift the plate to the front of the stove,push the plate to the front of the stove,1.0,0.8346349000930786
act,lexical,same_polarity_contextual,2,7,scoot the plate to the front of the stove,push the plate to the front of the stove,1.0,0.8191940784454346
act,lexical,same_polarity_contextual,3,0,place the bowl on the plate,put the bowl on the plate,1.0,0.7971383929252625
act,lexical,same_polarity_contextual,3,1,set the bowl on the plate,put the bowl on the plate,1.0,0.812459409236908
act,lexical,same_polarity_contextual,3,2,position the bowl on the plate,put the bowl on the plate,1.0,0.7754541039466858
act,lexical,same_polarity_contextual,3,3,rest the bowl on the plate,put the bowl on the plate,1.0,0.7812212109565735
act,lexical,same_polarity_contextual,3,4,settle the bowl on the plate,put the bowl on the plate,1.0,0.77301025390625
act,lexical,same_polarity_contextual,3,5,situate the bowl on the plate,put the bowl on the plate,1.0,0.77301025390625
act,lexical,same_polarity_contextual,3,6,deposit the bowl on the plate,put the bowl on the plate,1.0,0.7804477214813232
act,lexical,same_polarity_contextual,3,8,station the bowl on the plate,put the bowl on the plate,1.0,0.77301025390625
act,lexical,same_polarity_contextual,3,9,arrange the bowl on the plate,put the bowl on the plate,1.0,0.77301025390625
act,lexical,same_polarity_contextual,4,1,place the bowl on the stove,put the bowl on the stove,1.0,0.7971383929252625
act,lexical,same_polarity_contextual,4,2,set the bowl on the stove,put the bowl on the stove,1.0,0.8124594688415527
act,lexical,same_polarity_contextual,4,3,position the bowl on the stove,put the bowl on the stove,1.0,0.7754542231559753
act,lexical,same_polarity_contextual,4,4,move the bowl on the stove,put the bowl on the stove,1.0,0.7679211497306824
act,lexical,same_polarity_contextual,4,6,deposit the bowl on the stove,put the bowl on the stove,1.0,0.780447781085968
act,lexical,same_polarity_contextual,4,7,lay the bowl on the stove,put the bowl on the stove,1.0,0.7937899231910706
act,lexical,same_polarity_contextual,4,8,situate the bowl on the stove,put the bowl on the stove,1.0,0.7598252892494202
act,lexical,same_polarity_contextual,4,9,rest the bowl on the stove,put the bowl on the stove,1.0,0.781221330165863
act,lexical,same_polarity_contextual,4,10,settle the bowl on the stove,put the bowl on the stove,1.0,0.7679805159568787
act,lexical,same_polarity_contextual,5,0,place the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_contextual,5,1,set the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.8593446016311646
act,lexical,same_polarity_contextual,5,2,position the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_contextual,5,4,deposit the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_contextual,5,5,rest the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_contextual,5,7,situate the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_contextual,5,9,stand the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_contextual,6,1,place the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8478537797927856
act,lexical,same_polarity_contextual,6,2,set the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8593446016311646
act,lexical,same_polarity_contextual,6,3,deposit the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8353358507156372
act,lexical,same_polarity_contextual,6,4,transfer the cream cheese into the bowl,put the cream cheese in the bowl,1.0,0.8213108777999878
act,lexical,same_polarity_contextual,6,5,move the cream cheese into the bowl,put the cream cheese in the bowl,1.0,0.8259408473968506
act,lexical,same_polarity_contextual,6,8,add the cream cheese to the bowl,put the cream cheese in the bowl,1.0,0.8646526336669922
act,lexical,same_polarity_contextual,7,0,place the wine bottle on the rack,put the wine bottle on the rack,0.8571428571428572,0.8478538990020752
act,lexical,same_polarity_contextual,7,1,set the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8593446016311646
act,lexical,same_polarity_contextual,7,2,position the wine bottle on the rack,put the wine bottle on the rack,0.8571428571428572,0.8315906524658203
act,lexical,same_polarity_contextual,7,3,deposit the wine bottle on the rack,put the wine bottle on the rack,0.8571428571428572,0.8353358507156372
act,lexical,same_polarity_contextual,7,4,lay the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8453425168991089
act,lexical,same_polarity_contextual,7,5,arrange the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8217624425888062
act,lexical,same_polarity_contextual,7,6,situate the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8217624425888062
act,lexical,same_polarity_contextual,7,7,settle the wine bottle on the rack,put the wine bottle on the rack,0.8571428571428572,0.8259854316711426
act,lexical,same_polarity_contextual,7,8,rest the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8359160423278809
act,lexical,same_polarity_contextual,7,9,store the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8217624425888062
act,lexical,same_polarity_contextual,8,0,place the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.8888888888888888,0.8837364315986633
act,lexical,same_polarity_contextual,8,1,set the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,1.0,0.8874756693840027
act,lexical,same_polarity_contextual,8,2,position the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.8888888888888888,0.8837364315986633
act,lexical,same_polarity_contextual,8,3,stand the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.8888888888888888,0.8837364315986633
act,lexical,same_polarity_contextual,8,4,rest the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,1.0,0.8837364315986633
act,lexical,same_polarity_contextual,8,5,deposit the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.8888888888888888,0.8837364315986633
act,lexical,same_polarity_contextual,8,6,situate the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.8888888888888888,0.8837364315986633
act,lexical,same_polarity_contextual,8,7,settle the wine bottle on top of the cabinet,put the wine bottle on top of the cabinet,0.8888888888888888,0.8837364315986633
act,lexical,same_polarity_contextual,9,1,activate the stove,turn on the stove,0.7142857142857143,0.6762624979019165
act,lexical,same_polarity_contextual,9,2,start the stove,turn on the stove,0.7142857142857143,0.7041710019111633
act,lexical,same_polarity_contextual,9,3,switch on the stove,turn on the stove,1.0,0.7613118886947632
act,lexical,same_polarity_contextual,9,4,power on the stove,turn on the stove,0.875,0.7080423831939697
act,lexical,same_polarity_contextual,9,7,initiate the stove,turn on the stove,0.7142857142857143,0.6919094324111938
act,lexical,same_polarity_contextual,9,8,fire up the stove,turn on the stove,0.625,0.66595858335495
act,lexical,same_polarity_habitual,0,1,pull the middle drawer of the cabinet,open the middle drawer of the cabinet,1.0,0.8564467430114746
act,lexical,same_polarity_habitual,0,2,draw the middle drawer of the cabinet,open the middle drawer of the cabinet,1.0,0.830460786819458
act,lexical,same_polarity_habitual,0,3,slide the middle drawer of the cabinet,open the middle drawer of the cabinet,1.0,0.830460786819458
act,lexical,same_polarity_habitual,0,8,extend the middle drawer of the cabinet,open the middle drawer of the cabinet,1.0,0.830460786819458
act,lexical,same_polarity_habitual,1,1,pull the top drawer and put the bowl inside,open the top drawer and put the bowl inside,1.0,0.9072480797767639
act,lexical,same_polarity_habitual,1,2,open the top drawer and place the bowl inside,open the top drawer and put the bowl inside,1.0,0.9059467911720276
act,lexical,same_polarity_habitual,1,3,pull the top drawer and place the bowl inside,open the top drawer and put the bowl inside,1.0,0.8103616833686829
act,lexical,same_polarity_habitual,1,4,open the top drawer and set the bowl inside,open the top drawer and put the bowl inside,1.0,0.9062296748161316
act,lexical,same_polarity_habitual,1,5,pull the top drawer and set the bowl inside,open the top drawer and put the bowl inside,1.0,0.8134777545928955
act,lexical,same_polarity_habitual,1,6,open the top drawer and deposit the bowl inside,open the top drawer and put the bowl inside,1.0,0.9059467911720276
act,lexical,same_polarity_habitual,1,7,pull the top drawer and deposit the bowl inside,open the top drawer and put the bowl inside,1.0,0.8103616833686829
act,lexical,same_polarity_habitual,1,8,open the top drawer and insert the bowl inside,open the top drawer and put the bowl inside,1.0,0.9059467911720276
act,lexical,same_polarity_habitual,1,9,pull the top drawer and insert the bowl inside,open the top drawer and put the bowl inside,1.0,0.8103616833686829
act,lexical,same_polarity_habitual,2,0,move the plate to the front of the stove,push the plate to the front of the stove,1.0,0.8793067932128906
act,lexical,same_polarity_habitual,2,1,shove the plate to the front of the stove,push the plate to the front of the stove,1.0,0.9185405969619751
act,lexical,same_polarity_habitual,2,2,slide the plate to the front of the stove,push the plate to the front of the stove,1.0,0.826383113861084
act,lexical,same_polarity_habitual,2,3,nudge the plate to the front of the stove,push the plate to the front of the stove,1.0,0.8283183574676514
act,lexical,same_polarity_habitual,2,4,shift the plate to the front of the stove,push the plate to the front of the stove,1.0,0.8346349000930786
act,lexical,same_polarity_habitual,2,6,advance the plate to the front of the stove,push the plate to the front of the stove,1.0,0.8388431072235107
act,lexical,same_polarity_habitual,3,1,place the bowl on the plate,put the bowl on the plate,1.0,0.7971383929252625
act,lexical,same_polarity_habitual,3,2,set the bowl on the plate,put the bowl on the plate,1.0,0.812459409236908
act,lexical,same_polarity_habitual,3,3,deposit the bowl on the plate,put the bowl on the plate,1.0,0.7804477214813232
act,lexical,same_polarity_habitual,3,4,position the bowl on the plate,put the bowl on the plate,1.0,0.7754541039466858
act,lexical,same_polarity_habitual,3,5,lay the bowl on the plate,put the bowl on the plate,1.0,0.7937898635864258
act,lexical,same_polarity_habitual,3,6,rest the bowl on the plate,put the bowl on the plate,1.0,0.7812212109565735
act,lexical,same_polarity_habitual,4,1,place the bowl on the stove,put the bowl on the stove,1.0,0.7971383929252625
act,lexical,same_polarity_habitual,4,2,set the bowl on the stove,put the bowl on the stove,1.0,0.8124594688415527
act,lexical,same_polarity_habitual,4,3,lay the bowl on the stove,put the bowl on the stove,1.0,0.7937899231910706
act,lexical,same_polarity_habitual,4,4,deposit the bowl on the stove,put the bowl on the stove,1.0,0.780447781085968
act,lexical,same_polarity_habitual,4,5,position the bowl on the stove,put the bowl on the stove,1.0,0.7754542231559753
act,lexical,same_polarity_habitual,4,7,rest the bowl on the stove,put the bowl on the stove,1.0,0.781221330165863
act,lexical,same_polarity_habitual,4,8,situate the bowl on the stove,put the bowl on the stove,1.0,0.7598252892494202
act,lexical,same_polarity_habitual,5,1,place the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_habitual,5,2,set the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.8593446016311646
act,lexical,same_polarity_habitual,5,3,position the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_habitual,5,4,deposit the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_habitual,5,5,rest the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_habitual,5,6,lay the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_habitual,5,7,situate the bowl on top of the cabinet,put the bowl on top of the cabinet,1.0,0.854670524597168
act,lexical,same_polarity_habitual,6,1,place the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8478537797927856
act,lexical,same_polarity_habitual,6,2,set the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8593446016311646
act,lexical,same_polarity_habitual,6,3,deposit the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8353358507156372
act,lexical,same_polarity_habitual,6,4,drop the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8254855275154114
act,lexical,same_polarity_habitual,6,5,add the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8646526336669922
act,lexical,same_polarity_habitual,6,6,load the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8358651995658875
act,lexical,same_polarity_habitual,6,8,insert the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8282092213630676
act,lexical,same_polarity_habitual,6,9,position the cream cheese in the bowl,put the cream cheese in the bowl,1.0,0.8315906524658203
act,lexical,same_polarity_habitual,7,1,place the wine bottle on the rack,put the wine bottle on the rack,0.8571428571428572,0.8478538990020752
act,lexical,same_polarity_habitual,7,2,set the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8593446016311646
act,lexical,same_polarity_habitual,7,3,position the wine bottle on the rack,put the wine bottle on the rack,0.8571428571428572,0.8315906524658203
act,lexical,same_polarity_habitual,7,4,deposit the wine bottle on the rack,put the wine bottle on the rack,0.8571428571428572,0.8353358507156372
act,lexical,same_polarity_habitual,7,5,lay the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8453425168991089
act,lexical,same_polarity_habitual,7,6,rest the wine bottle on the rack,put the wine bottle on the rack,1.0,0.8359160423278809
